,session_name,timestamp,27261,27160,27226,27263
655,f-formation,1630388248,0,0,-1,0
656,f-formation,1630388249,0,0,-1,0
657,f-formation,1630388250,0,0,-1,0
658,f-formation,1630388251,0,0,-1,0
659,f-formation,1630388252,0,0,-1,0
660,f-formation,1630388253,0,0,-1,0
661,f-formation,1630388254,0,0,-1,0
662,f-formation,1630388255,0,0,-1,0
663,f-formation,1630388256,0,0,-1,0
664,f-formation,1630388257,0,0,-1,0
665,f-formation,1630388258,0,0,-1,0
666,f-formation,1630388259,0,0,-1,0
667,f-formation,1630388260,0,0,-1,0
668,f-formation,1630388261,0,0,-1,0
669,f-formation,1630388262,0,0,-1,0
670,f-formation,1630388263,0,0,-1,0
671,f-formation,1630388264,0,0,-1,0
672,f-formation,1630388265,0,0,-1,0
673,f-formation,1630388266,0,0,-1,0
674,f-formation,1630388267,0,0,-1,0
675,f-formation,1630388268,0,0,-1,0
676,f-formation,1630388269,0,0,-1,0
677,f-formation,1630388270,0,0,-1,0
678,f-formation,1630388271,0,0,-1,0
679,f-formation,1630388272,0,0,-1,0
680,f-formation,1630388273,0,0,-1,0
681,f-formation,1630388274,0,0,-1,0
682,f-formation,1630388275,0,0,-1,0
683,f-formation,1630388276,0,0,-1,0
684,f-formation,1630388277,0,0,-1,0
685,f-formation,1630388278,0,0,-1,0
686,f-formation,1630388279,0,0,-1,0
687,f-formation,1630388280,0,0,-1,0
688,f-formation,1630388281,0,0,-1,0
689,f-formation,1630388282,0,0,-1,0
690,f-formation,1630388283,0,0,-1,0
691,f-formation,1630388284,0,0,-1,0
692,f-formation,1630388285,0,0,-1,0
693,f-formation,1630388286,0,0,-1,0
694,f-formation,1630388287,0,0,-1,0
695,f-formation,1630388288,0,0,-1,0
696,f-formation,1630388289,0,0,-1,0
697,f-formation,1630388290,0,0,-1,0
698,f-formation,1630388291,0,0,-1,0
699,f-formation,1630388292,0,0,-1,0
700,f-formation,1630388293,0,0,-1,0
701,f-formation,1630388294,0,0,-1,0
702,f-formation,1630388295,0,0,-1,0
703,f-formation,1630388296,0,0,-1,0
704,f-formation,1630388297,0,0,-1,0
705,f-formation,1630388298,0,0,-1,0
706,f-formation,1630388299,0,0,-1,0
707,f-formation,1630388300,1,0,-1,0
708,f-formation,1630388301,0,0,-1,0
709,f-formation,1630388302,0,0,-1,0
710,f-formation,1630388303,0,0,-1,0
711,f-formation,1630388304,0,0,-1,0
712,f-formation,1630388305,0,0,-1,0
713,f-formation,1630388306,0,0,-1,0
714,f-formation,1630388307,0,0,-1,0
715,f-formation,1630388308,0,0,-1,0
716,f-formation,1630388309,0,0,-1,0
717,f-formation,1630388310,0,0,-1,0
718,f-formation,1630388311,0,0,-1,0
719,f-formation,1630388312,0,0,-1,0
720,f-formation,1630388313,0,0,-1,0
721,f-formation,1630388314,0,0,-1,0
722,f-formation,1630388315,0,0,-1,0
723,f-formation,1630388316,0,0,-1,0
724,f-formation,1630388317,0,0,-1,0
725,f-formation,1630388318,0,0,-1,0
726,f-formation,1630388319,0,0,-1,0
727,f-formation,1630388320,0,0,-1,0
728,f-formation,1630388321,0,0,-1,0
729,f-formation,1630388322,0,0,-1,0
730,f-formation,1630388323,0,0,-1,0
731,f-formation,1630388324,0,0,-1,0
732,f-formation,1630388325,0,0,-1,0
733,f-formation,1630388326,0,0,-1,0
734,f-formation,1630388327,0,0,-1,0
735,f-formation,1630388328,0,0,-1,0
736,f-formation,1630388329,0,0,-1,0
737,f-formation,1630388330,0,0,-1,0
738,f-formation,1630388331,0,0,-1,0
739,f-formation,1630388332,0,0,-1,0
740,f-formation,1630388333,0,0,-1,0
741,f-formation,1630388334,0,0,-1,0
742,f-formation,1630388335,0,0,-1,0
743,f-formation,1630388336,0,0,-1,1
744,f-formation,1630388337,0,0,-1,1
745,f-formation,1630388338,0,0,-1,1
746,f-formation,1630388339,0,0,-1,1
747,f-formation,1630388340,0,0,-1,1
748,f-formation,1630388341,0,0,-1,1
749,f-formation,1630388342,0,0,-1,1
750,f-formation,1630388343,0,0,-1,1
751,f-formation,1630388344,0,0,-1,1
752,f-formation,1630388345,0,0,-1,1
753,f-formation,1630388346,0,0,-1,1
754,f-formation,1630388347,0,0,-1,1
755,f-formation,1630388348,0,0,-1,1
756,f-formation,1630388349,0,0,-1,1
757,f-formation,1630388350,0,0,-1,1
758,f-formation,1630388351,0,0,-1,1
759,f-formation,1630388352,0,0,-1,1
